!!	deadend
!!!	Dance-punk
!!!_(album)	Album
!!Destroy-Oh-Boy!!	Garage_rock
!Action_Pact!	Punk_rock
!Arriba!_La_Pachanga	Album
!Hero	Rock_opera
!Hero_(album)	Album
!Kung_language	Dialect_continuum
!Oka_Tokat	ABS-CBN
!PAUS3	New_York_City
!T.O.O.H.!	Technical_death_metal
!Women_Art_Revolution	Documentary_film
!Wowow!	Artist_collective
!_(The_Dismemberment_Plan_album)	Album
!_(disambiguation)	Exclamation_mark
"...And_Ladies_of_the_Club"	Novel
12th_ZAI_Awards	ZAI_Awards
12th_arrondissement	deadend
12th_arrondissement_of_Marseille	Arrondissements_of_Marseille
12th_arrondissement_of_Paris	Arrondissements_of_Paris
12th_arrondissement_of_the_Littoral_Department	Arrondissements_of_Benin
12th_century	1101
12th_century_BC	Late_Bronze_Age_collapse
12th_century_in_North_American_history	11th_century_in_North_American_history
12th_century_in_Wales	Wales
12th_century_in_literature	deadend
12th_edition_of_Systema_Naturae	Systema_Naturae
12th_government_of_Turkey	Turkey
12th_man_(football)	Fan_(person)
12th_meridian	deadend
12th_meridian_east	Prime_meridian
12th_meridian_west	Prime_meridian
12th_of_Never	deadend
12th_of_Never_(novel)	James_Patterson
12th_parallel	deadend
12th_parallel_north	Circle_of_latitude
12th_parallel_south	Circle_of_latitude
12x12_Original_Remixes	Remix_album
12×12	deadend
12–13th_&_Locust_station	PATCO_Speedline
12–6_curveball	Pitch_(baseball)
13	deadend
13"/35_caliber_gun	Battleship
13's_Reborn	Girugamesh
13,_Rue_del_Percebe	Francisco_Ibáñez_Talavera
13-Hydroxyoctadecadienoic_acid	Stereoisomerism
13-Methyltetradecanoic_acid	Fatty_acid
13-Point_Program_to_Destroy_America	United_States
13-centimeter_band	Ultra_high_frequency
13-hydroxydocosanoate_13-beta-glucosyltransferase	Enzyme
13-hydroxylupinine_O-tigloyltransferase	Enzyme
13.0.0.0.0	Album
13.13	Lydia_Lunch
13.2mm_TuF	Anti-tank_warfare
13.5_cm_K_09	Breech-loading_weapon
13._Soba	Rock_music
13/13/13	Horror_film
13/8_(album)	Mohsen_Namjoo
130	Common_year_starting_on_Saturday
1300	Leap_year_starting_on_Friday
13000_series	deadend
13000krát	Misha_(singer)
13003_Dickbeasley	Asteroid
13006_Schwaar	Asteroid
1300_(disambiguation)	deadend
1300_AM	Radio_broadcasting
1300_Lafayette_East_Cooperative	Housing_cooperative
1300_Marcelle	Asteroid
1300_Oslo	Jon_Balke
1300_in_Ireland	deadend
1300_in_Italy	deadend
1300_series	deadend
1300s	deadend
1300s_(decade)	deadend
1300s_BC	deadend
1300s_in_England	England
1300s_in_art	1300s_(decade)
1300s_in_poetry	deadend
1300–1400_in_European_fashion	James_Laver
1301	Common_year_starting_on_Sunday
1301PE	Los_Angeles
1301_(disambiguation)	deadend
1301_Yvonne	Asteroid_belt
1302	Common_year_starting_on_Monday
13025_Zürich	Asteroid
1302_Werra	Asteroid_belt
1302_in_Italy	deadend
1303	Common_year_starting_on_Tuesday
1303_Crete_earthquake	Mercalli_intensity_scale
1303_Hongdong_earthquake	China
1303_Luthera	Asteroid_belt
1304	Leap_year_starting_on_Wednesday
1304_(disambiguation)	deadend
1304_Arosa	Asteroid
1305	Common_year_starting_on_Friday
13058_Alfredstevens	Asteroid
1305_Pongola	Asteroid_belt
1305_in_Ireland	deadend
1305_in_Scotland	Kingdom_of_Scotland
1306	Common_year_starting_on_Saturday
13062_Podarkes	Jupiter_trojan
1306_Scythia	Asteroid_belt
1306_in_Ireland	deadend
1306_in_Scotland	Kingdom_of_Scotland
1307	Common_year_starting_on_Sunday
13070_Seanconnery	Asteroid
1307_Cimmeria	Asteroid
1307_in_Ireland	deadend
1307_in_Scotland	Kingdom_of_Scotland
1308	Leap_year_starting_on_Monday
1308_Halleria	Asteroid_belt
1308_in_Ireland	deadend
1308_in_Scotland	Kingdom_of_Scotland
1309	Common_year_starting_on_Wednesday
1309_Hyperborea	Asteroid_belt
1309_in_Ireland	deadend
1309_in_Scotland	Kingdom_of_Scotland
130P/McNaught–Hughes	List_of_periodic_comets
130_(number)	Natural_number
130_53_TK	Finland
130_BC	Roman_calendar
130_Cedar_Street	Lower_Manhattan
130_Colmore_Row	Listed_building
130_Elektra	Asteroid_belt
130_K_90-60	Finland
130_departments_of_the_First_French_Empire	Departments_of_France
130_mm/50_B13_Pattern_1936	Soviet_Union
130_mm/55_B7_Pattern_1913	Imperial_Russian_Navy
130_mm_air_defense_gun_KS-30	Soviet_Union
130_mm_coastal_defense_gun_A-222	Russia
130_mm_towed_field_gun_M1954_(M-46)	Artillery
130_mood_:_TRBL	Extended_play
130_nanometer	Semiconductor_device_fabrication
130s	deadend
130s_BC	deadend
130th	deadend
130th_Airlift_Squadron	West_Virginia_Air_National_Guard
130th_Airlift_Wing	West_Virginia_Air_National_Guard
130th_Aviation_Regiment_(United_States)	United_States_Army
130th_Baluchis	Infantry
130th_Battalion_(Lanark_and_Renfrew),_CEF	Canadian_Expeditionary_Force
130th_Delaware_General_Assembly	Legislature
130th_Division_(Imperial_Japanese_Army)	Infantry
130th_Engineer_Battalion	Combat_engineer
130th_Engineer_Brigade_(United_States)	Brigade
130th_Field_Artillery_Brigade	United_States_Army
130th_IOC_Session	List_of_IOC_meetings
130th_Illinois_Volunteer_Infantry_Regiment	Infantry
130th_Indiana_Infantry_Regiment	Infantry
130th_Infantry_Brigade_(United_Kingdom)	Infantry
130th_Infantry_Regiment_(United_States)	Infantry
130th_New_York_State_Legislature	New_York_State_Senate
130th_New_York_Volunteer_Infantry_Regiment	American_Civil_War
130th_Ohio_General_Assembly	Ohio
130th_Ohio_Infantry	Infantry
130th_Pennsylvania_Infantry	Infantry
130th_Regiment	deadend
130th_Regiment_of_Foot	Regiment
130th_Rescue_Squadron	California_Air_National_Guard
130th_Street_(IRT_Ninth_Avenue_Line)	IRT_Ninth_Avenue_Line
130th_meridian	deadend
130th_meridian_east	Prime_meridian
130th_meridian_west	Prime_meridian
130–136_Piccott's_End	Timber_framing
130–30_fund	Mutual_fund
131	Common_year_starting_on_Sunday
1310	Common_year_starting_on_Thursday
1310_AM	Radio_broadcasting
1310_G_Street	High-rise_building
1310_Villigera	Asteroid
1310_in_Ireland	deadend
1310_in_Scotland	Kingdom_of_Scotland
1310s	deadend
1310s_in_England	England
1310s_in_art	deadend
1310s_in_poetry	deadend
1311	Common_year_starting_on_Friday
1311_in_Ireland	deadend
1311_in_Scotland	Kingdom_of_Scotland
1312	Leap_year_starting_on_Saturday
13123_Tyson	Asteroid
131245_Bakich	Asteroid_belt
1312_Vassar	Asteroid
1312_in_Norway	1312
1312_in_Scotland	Kingdom_of_Scotland
1313	Common_year_starting_on_Monday
1313_(album)	Belgium
1313_Berna	Binary_asteroid
1313_Dead_End_Drive	Parker_Brothers
1313_Mockingbird_Lane	Garage_rock
1313_in_Ireland	deadend
1313_in_Scotland	Kingdom_of_Scotland
1314	Common_year_starting_on_Tuesday
1314_in_Ireland	deadend
1314_in_Scotland	Kingdom_of_Scotland
1315	Common_year_starting_on_Wednesday
13154_Petermrva	Asteroid
1315_in_Ireland	deadend
1315_in_Italy	deadend
1315_in_Scotland	Kingdom_of_Scotland
1316	Leap_year_starting_on_Thursday
1316_Kasan	List_of_Mars-crossing_minor_planets
1316_in_Ireland	deadend
1316_in_Norway	Norway
1316_in_Scotland	Kingdom_of_Scotland
1317	Common_year_starting_on_Saturday
1317_in_Ireland	deadend
1317_in_Scotland	Kingdom_of_Scotland
1318	Common_year_starting_on_Sunday
1318_Nerina	Asteroid_belt
1318_in_Ireland	deadend
1318_in_Scotland	Kingdom_of_Scotland
1319	Common_year_starting_on_Monday
1319_Disa	Asteroid
1319_in_Ireland	deadend
1319_in_Norway	Norway
1319_in_Scotland	Kingdom_of_Scotland
131_(album)	Rock_music
131_(number)	Natural_number
131_BC	Roman_calendar
131_Charles_Street	Federal_architecture
131_Commando_Squadron_Royal_Engineers	Royal_Engineers
131_Ponce_de_Leon_Avenue	Midtown_Atlanta
131_Squadron_(Israel)	Israeli_Air_Force
131_Vala	Asteroid_belt
131st_Armoured_Division_Centauro	Division_(military)
131st_Aviation_Regiment_(United_States)	Regiment
131st_Battalion_(Westminster),_CEF	Canadian_Expeditionary_Force
131st_Bomb_Wing	Missouri_Air_National_Guard
131st_Delaware_General_Assembly	Delaware_Senate
131st_Division	deadend
131st_Division_(1st_Formation)(People's_Republic_of_China)	Fourth_Field_Army
131st_Division_(2nd_Formation)(People's_Republic_of_China)	Tunchang_County
131st_Division_(Imperial_Japanese_Army)	Infantry
131st_Fighter_Squadron	Massachusetts_Air_National_Guard
131st_Illinois_Volunteer_Infantry_Regiment	Infantry
131st_Infantry_Brigade_(United_Kingdom)	Army_Reserve_(United_Kingdom)
131st_Infantry_Division_(Wehrmacht)	German_Army_(Wehrmacht)
131st_Infantry_Regiment_(United_States)	Infantry
131st_New_York_State_Legislature	New_York_State_Senate
131st_New_York_Volunteer_Infantry	Infantry
131st_Ohio_General_Assembly	Ohio
131st_Ohio_Infantry	Infantry
131st_Pennsylvania_Infantry	Infantry
131st_Regiment_of_Foot	Regiment
131st_Rescue_Squadron	California_Air_National_Guard
131st_Rocket_Brigade	Tactical_ballistic_missile
131st_meridian	deadend
131st_meridian_east	Prime_meridian
131st_meridian_west	Prime_meridian
132	Leap_year_starting_on_Monday
1320	Leap_year_starting_on_Tuesday
1320_AM	Radio_broadcasting
1320_Club	Scottish_nationalism
1320_in_Ireland	deadend
1320_in_Scotland	Kingdom_of_Scotland
1320s	deadend
1320s_in_England	England
1320s_in_art	deadend
1320s_in_poetry	deadend
1321	Common_year_starting_on_Thursday
1321_in_Ireland	deadend
1321_in_Scotland	Kingdom_of_Scotland
1321_leper_scare	Leprosy
1322	Common_year_starting_on_Friday
1322_Coppernicus	Asteroid
1322_Golden_Empire_Tower	Skyscraper
1322_in_Japan	Japan
1322_in_Scotland	Kingdom_of_Scotland
1323	Common_year_starting_on_Saturday
1323_Tugela	Asteroid_belt
1323_in_Scotland	Kingdom_of_Scotland
1324	Leap_year_starting_on_Sunday
13241_Biyo	Asteroid
1324_in_Ireland	deadend
1324_in_Scotland	Kingdom_of_Scotland
1325	Common_year_starting_on_Tuesday
132524_APL	Asteroid
1325_Inanda	Asteroid_belt
1325_Policy_Group	Non-governmental_organization
1325_in_Italy	deadend
1325_in_Scotland	Kingdom_of_Scotland
1326	Common_year_starting_on_Wednesday
13260_Sabadell	Asteroid
1326_in_Ireland	deadend
1326_in_Norway	1326
1326_in_Scotland	Kingdom_of_Scotland
1327	Common_year_starting_on_Thursday
1327_in_Ireland	deadend
1327_in_Scotland	Kingdom_of_Scotland
1328	Leap_year_starting_on_Friday
1328_Devota	Asteroid_belt
1328_in_Ireland	deadend
1328_in_Scotland	Kingdom_of_Scotland
1329	Common_year_starting_on_Sunday
1329_Eliane	Asteroid
1329_in_Ireland	deadend
1329_in_Scotland	Kingdom_of_Scotland
132P/Helin–Roman–Alu	List_of_periodic_comets
132_(number)	Natural_number
132_Aethra	M-type_asteroid
132_Aviation_Supply_Squadron_RLC	Wattisham_Airfield
132_BC	Roman_calendar
132_Battery_(The_Bengal_Rocket_Troop)_Royal_Artillery	Multiple_rocket_launcher
132_Tauri	Star
132d_Air_Refueling_Squadron	Maine_Air_National_Guard
132nd_(Highland)_Regiment_of_Foot	Scotland
132nd_Armoured_Division_Ariete	Armoured_warfare
132nd_Battalion_(North_Shore),_CEF	Canadian_Expeditionary_Force
132nd_Delaware_General_Assembly	Delaware_Senate
132nd_Division	deadend
132nd_Division_(Imperial_Japanese_Army)	Infantry
132nd_Engineer_Battalion	United_States_Army
132nd_Illinois_Volunteer_Infantry_Regiment	Infantry
132nd_Independent_Mixed_Brigade_(Imperial_Japanese_Army)	Infantry
132nd_Indiana_Infantry_Regiment	Union_Army
132nd_Infantry_Brigade_(United_Kingdom)	Infantry
132nd_Infantry_Division_(Wehrmacht)	Infantry
132nd_Motorized_Infantry_Brigade_(People's_Republic_of_China)	Fourth_Field_Army
132nd_New_York_State_Legislature	New_York_State_Senate
132nd_New_York_Volunteer_Infantry_Regiment	Spinola_brigade
132nd_Ohio_General_Assembly	Ohio
132nd_Ohio_Infantry	Infantry
132nd_Pennsylvania_Infantry	Infantry
132nd_Regiment	deadend
132nd_Wing	United_States_Air_Force
132nd_meridian	deadend
132nd_meridian_east	Prime_meridian
132nd_meridian_west	Prime_meridian
133	Common_year_starting_on_Wednesday
1330	Common_year_starting_on_Monday
1330_AM	Radio_broadcasting
1330_Spiridonia	Asteroid_belt
1330_in_Ireland	deadend
1330_in_Scotland	Kingdom_of_Scotland
1330s	deadend
1330s_in_England	England
1330s_in_art	deadend
1330s_in_poetry	deadend
1331	Common_year_starting_on_Tuesday
1331_Yonge_Street	Toronto
1331_in_Ireland	deadend
1331_in_Scotland	Kingdom_of_Scotland
1332	Leap_year_starting_on_Wednesday
133243_Essen	Asteroid_belt
1332_in_Ireland	deadend
1332_in_Scotland	Kingdom_of_Scotland
1333	Common_year_starting_on_Friday
1333_Cevenola	Binary_asteroid
1333_H_Street	High-rise_building
1333_in_Ireland	deadend
1333_in_Japan	Japan
1333_in_Scotland	Kingdom_of_Scotland
1334	Common_year_starting_on_Saturday
1334_Lundmarka	Asteroid
1334_in_Ireland	deadend
1334_in_Scotland	Kingdom_of_Scotland
1335	Common_year_starting_on_Sunday
133528_Ceragioli	Asteroid_belt
1335_Demoulina	Asteroid_belt
1335_in_Ireland	deadend
1335_in_Norway	1335
1335_in_Scotland	Kingdom_of_Scotland
1336	Leap_year_starting_on_Monday
1336_Zeelandia	Asteroid_belt
1336_in_Ireland	deadend
1336_in_Japan	Japan
1337	Common_year_starting_on_Wednesday
1337_Gerarda	Asteroid_belt
1337_in_Ireland	deadend
1337_in_Japan	Japan
1337x	Web_directory
1338	Common_year_starting_on_Thursday
1338_Duponta	Asteroid_belt
1338_in_Ireland	deadend
1339	Common_year_starting_on_Friday
13390_Bouška	Asteroid
1339_Désagneauxa	Asteroid
1339_in_Ireland	deadend
1339_in_Italy	deadend
133_(number)	Natural_number
133_BC	Roman_calendar
133_Cyrene	Asteroid_belt
133_Squadron_(Israel)	Israeli_Air_Force
133d_Air_Refueling_Squadron	New_Hampshire_Air_National_Guard
133d_Operations_Group	Minnesota_Air_National_Guard
133rd_(Highland)_Regiment_of_Foot	Scotland
133rd_(Parachute)_Field_Ambulance	Royal_Army_Medical_Corps
133rd_Airlift_Wing	Minnesota_Air_National_Guard
133rd_Armoured_Division_Littorio	Armoured_warfare
133rd_Battalion_(Norfolk's_Own),_CEF	Canadian_Expeditionary_Force
133rd_Delaware_General_Assembly	Delaware_Senate
133rd_Division	deadend
133rd_Division_(2nd_Formation)(People's_Republic_of_China)	41st_Group_Army
133rd_Division_(Imperial_Japanese_Army)	Infantry
133rd_Engineer_Battalion	Maine_Army_National_Guard
133rd_Field_Artillery_Regiment_(United_States)	Field_artillery
133rd_Illinois_Volunteer_Infantry_Regiment	Infantry
133rd_Indiana_Infantry_Regiment	Union_Army
133rd_Infantry_Brigade_(United_Kingdom)	Infantry
133rd_Infantry_Regiment_(United_States)	Infantry
133rd_Light_Anti-Aircraft_Regiment,_Royal_Artillery	Royal_Artillery
133rd_New_York_State_Legislature	New_York_State_Senate
133rd_New_York_Volunteer_Infantry	Infantry
133rd_Ohio_Infantry	Infantry
133rd_Pennsylvania_Infantry	Infantry
133rd_Street_(IRT_Third_Avenue_Line)	IRT_Third_Avenue_Line
133rd_Street_(Manhattan)	Manhattan
133rd_meridian	deadend
133rd_meridian_east	Prime_meridian
133rd_meridian_west	Prime_meridian
134	Common_year_starting_on_Thursday
1340	Leap_year_starting_on_Saturday
1340_AM	Radio_broadcasting
1340_Yvette	Asteroid_belt
1340_in_Ireland	deadend
1340s	Julian_calendar
1340s_in_England	England
1340s_in_art	deadend
1340s_in_poetry	deadend
1341	Common_year_starting_on_Monday
1341_Edmée	Asteroid
1341_in_Ireland	deadend
1342	Common_year_starting_on_Tuesday
1342_in_Ireland	deadend
1342_in_Scotland	Kingdom_of_Scotland
1343	Common_year_starting_on_Wednesday
1343_Naples_earthquake	Tyrrhenian_Sea
1343_in_Ireland	deadend
1344	Leap_year_starting_on_Thursday
1344_Yellow_River_flood	Natural_disaster
1344_in_Ireland	deadend
1345	Common_year_starting_on_Saturday
1345_Avenue_of_the_Americas	AllianceBernstein
1345_Potomac	Asteroid_belt
1345_in_Ireland	deadend
1345_in_Italy	deadend
1346	Common_year_starting_on_Sunday
1346_Gotha	Asteroid_belt
1346_in_Ireland	deadend
1347	Common_year_starting_on_Monday
13474_V'yus	Asteroid_belt
1347_Patria	Asteroid_belt
1347_in_Ireland	deadend
1348	Leap_year_starting_on_Tuesday
1348_Friuli_earthquake	Southern_Limestone_Alps
1348_in_Ireland	deadend
1349	Common_year_starting_on_Thursday
1349_(band)	Black_metal
1349_Bechuana	Asteroid_belt
1349_in_Ireland	deadend
1349_in_Norway	1349
134_(number)	Natural_number
134_BC	Roman_calendar
134_Sophrosyne	Asteroid_belt
134_Tauri	Subgiant
134th	deadend
134th_(2/1st_Hampshire)_Brigade	Infantry
134th_(Loyal_Limerick)_Regiment_of_Foot	Regiment
134th_Air_Refueling_Wing	Tennessee_Air_National_Guard
134th_Battalion_(48th_Highlanders),_CEF	Canadian_Expeditionary_Force
134th_Cavalry_Regiment_(United_States)	Cavalry
134th_Delaware_General_Assembly	Delaware_Senate
134th_Division	deadend
134th_Division_(Imperial_Japanese_Army)	Infantry
134th_Fighter_Squadron	Vermont_Air_National_Guard
134th_Georgia_General_Assembly	Georgia_(U.S._state)
134th_Illinois_Volunteer_Infantry_Regiment	Infantry
134th_Indiana_Infantry_Regiment	Union_Army
134th_Infantry_Division_(Wehrmacht)	Infantry
134th_Motor_Rifle_Division	Soviet_Army
134th_New_York_State_Legislature	New_York_State_Senate
134th_New_York_Volunteer_Infantry	Infantry
134th_Ohio_Infantry	Infantry
134th_Pennsylvania_Infantry	Infantry
134th_meridian	deadend
134th_meridian_east	Prime_meridian
134th_meridian_west	Prime_meridian
135	Common_year_starting_on_Friday
1350	Common_year_starting_on_Friday
1350_AM	Radio_broadcasting
1350_Rosselia	Asteroid_belt
1350_in_Ireland	deadend
1350s	deadend
1350s_BC	deadend
1350s_in_England	England
1350s_in_art	deadend
1350s_in_poetry	deadend
1351	Common_year_starting_on_Saturday
1351_in_Ireland	deadend
1352	Leap_year_starting_on_Sunday
1352_in_Ireland	deadend
1353	Common_year_starting_on_Tuesday
1353_Maartje	Asteroid_belt
1353_in_Ireland	deadend
1354	Common_year_starting_on_Wednesday
1354_Botha	Asteroid_belt
1354_in_Ireland	deadend
1355	Common_year_starting_on_Thursday
1355_Magoeba	Asteroid
1355_in_ireland	deadend
1356	Leap_year_starting_on_Friday
1356_(disambiguation)	deadend
1356_(novel)	The_Grail_Quest
1356_Basel_earthquake	Earthquake
1356_Nyanza	Asteroid_belt
1356_in_Ireland	deadend
1356_in_ireland	deadend
1357	Common_year_starting_on_Sunday
1357_(disambiguation)	deadend
1357_in_Ireland	deadend
1358	Common_year_starting_on_Monday
1358_(disambiguation)	deadend
1358_in_Ireland	deadend
1358_in_Norway	1358
1359	Common_year_starting_on_Tuesday
1359_Prieska	Asteroid
1359_in_Ireland	deadend
1359_in_Japan	Japan
135_(number)	Natural_number
135_BC	Roman_calendar
135_Hertha	Asteroid_belt
135_Squadron_(Israel)	Israeli_Air_Force
135_film	Photographic_film
135_mm_/45_Italian_naval_gun	Regia_Marina
135th	deadend
135th_(2/1st_South_Western)_Brigade	Infantry
135th_(Limerick)_Regiment_of_Foot	Regiment
135th_(Middlesex)_Battalion,_CEF	Canadian_Expeditionary_Force
135th_Aero_Squadron	United_States_Army_Air_Service
135th_Airlift_Group	United_States_Air_Force
135th_Airlift_Squadron	United_States_Air_Force
135th_Aviation_Regiment_(United_States)	United_States_Army_Aviation_Branch
135th_Delaware_General_Assembly	Delaware_Senate
135th_Division_(Imperial_Japanese_Army)	Infantry
135th_Georgia_General_Assembly	Georgia_(U.S._state)
135th_Illinois_Volunteer_Infantry_Regiment	Infantry
135th_Indiana_Infantry_Regiment	Union_Army
135th_Infantry_Regiment_(United_States)	Infantry
135th_New_York_State_Legislature	New_York_State_Senate
135th_Ohio_Infantry	Infantry
135th_Street	deadend
135th_Street_(IND_Eighth_Avenue_Line)	Metro_station
135th_Street_(IRT_Lenox_Avenue_Line)	Metro_station
135th_Street_(IRT_Ninth_Avenue_Line)	IRT_Ninth_Avenue_Line
135th_Sustainment_Command_(Expeditionary)	Alabama_Army_National_Guard
135th_meridian	deadend
135th_meridian_east	Prime_meridian
135th_meridian_west	Prime_meridian
136	Leap_year_starting_on_Saturday
1360	Leap_year_starting_on_Wednesday
1360_AM	Radio_broadcasting
1360_in_Ireland	deadend
1360s	deadend
1360s_in_England	deadend
1360s_in_art	deadend
1360s_in_music	deadend
1360s_in_poetry	deadend
1361	Common_year_starting_on_Friday
1361_Leuschneria	Asteroid
1361_in_Ireland	deadend
1362	Common_year_starting_on_Saturday
1362_Griqua	Asteroid
1363	Common_year_starting_on_Sunday
1363_in_Ireland	deadend
1363_in_Norway	1363
1364	Leap_year_starting_on_Monday
1364_Safara	Asteroid_belt
1364_in_Ireland	deadend
1364_in_Italy	deadend
1365	Common_year_starting_on_Wednesday
1365_Henyey	Asteroid
1366	Common_year_starting_on_Thursday
1366_Piccolo	Asteroid_belt
1366_Technologies	Bedford,_Massachusetts
1366_in_Ireland	deadend
1367	Common_year_starting_on_Friday
1367_in_Ireland	deadend
1368	Leap_year_starting_on_Saturday
1368_Numidia	Asteroid_belt
1368_in_France	France
1368_in_Ireland	deadend
1369	Common_year_starting_on_Monday
1369_Ostanina	Asteroid
136P/Mueller	List_of_periodic_comets
136_(number)	Natural_number
136_Austria	Asteroid_belt
136_BC	Roman_calendar
136_Tauri	Main_sequence
136th	deadend
136th_(2/1st_Devon_and_Cornwall)_Brigade	Infantry
136th_(Durham)_Battalion,_CEF	Canadian_Expeditionary_Force
136th_Airlift_Squadron	New_York_Air_National_Guard
136th_Airlift_Wing	Texas_Air_National_Guard
136th_Armoured_Division_Centauro_II	Armoured_warfare
136th_Armoured_Division_Giovani_Fascisti	Infantry
136th_Civil_Engineer_Squadron	136th_Airlift_Wing
136th_Delaware_General_Assembly	Delaware_Senate
136th_Division	deadend
136th_Division_(Imperial_Japanese_Army)	Infantry
136th_Georgia_General_Assembly	Georgia_(U.S._state)
136th_Illinois_Volunteer_Infantry_Regiment	Infantry
136th_Indiana_Infantry_Regiment	Union_Army
136th_Infantry_Regiment_(United_States)	Infantry
136th_New_York_State_Legislature	New_York_State_Senate
136th_New_York_Volunteer_Infantry	Infantry
136th_Ohio_Infantry	Infantry
136th_Pennsylvania_Infantry	Infantry
136th_Rifle_Division	Division_(military)
136th_meridian	deadend
136th_meridian_east	Prime_meridian
136th_meridian_west	Prime_meridian
137	Common_year_starting_on_Monday
1370	Common_year_starting_on_Tuesday
1370_AM	Radio_broadcasting
1370_Hella	Asteroid_belt
1370_in_Norway	1370
1370s	deadend
1370s_in_England	England
1370s_in_art	deadend
1370s_in_poetry	deadend
1371	Common_year_starting_on_Wednesday
1371_in_Ireland	deadend
1372	Leap_year_starting_on_Thursday
1372_Haremari	Asteroid_belt
1372_Overton_Park	Punk_rock
1372_in_Ireland	deadend
1373	Common_year_starting_on_Saturday
13732_Woodall	Asteroid
1373_(disambiguation)	deadend
1373_Cincinnati	Asteroid
1374	Common_year_starting_on_Sunday
1374_Isora	Asteroid
1374_in_Ireland	deadend
1374_in_Norway	1374
1375	Common_year_starting_on_Monday
1375_Yellow_River_flood	Natural_disaster
1375_in_Ireland	deadend
1376	Leap_year_starting_on_Tuesday
1376_Michelle	Asteroid
1376_in_Ireland	deadend
1377	Common_year_starting_on_Thursday
1377_in_Ireland	deadend
1378	Common_year_starting_on_Friday
1378_(km)	First-person_shooter
1378_Leonce	Asteroid_belt
1378_in_Ireland	deadend
1379	Common_year_starting_on_Saturday
1379_Lomonosowa	Asteroid_belt
1379_in_Ireland	deadend
137_(number)	Natural_number
137_BC	Roman_calendar
137_Meliboea	Asteroid_belt
137th	deadend
137th_(Calgary)_Battalion,_CEF	Canadian_Expeditionary_Force
137th_Air_Refueling_Wing	Oklahoma_Air_National_Guard
137th_Airlift_Squadron	New_York_Air_National_Guard
137th_Armoured_Brigade_(United_Kingdom)	Armoured_warfare
137th_Aviation_Regiment_(United_States)	United_States_Army_Aviation_Branch
137th_Delaware_General_Assembly	Delaware_Senate
137th_Division	deadend
137th_Division_(Imperial_Japanese_Army)	Infantry
137th_Field_Artillery_Battalion_(United_States)	Field_artillery
137th_Georgia_General_Assembly	U.S._state
137th_Guards_Airborne_Regiment	Russian_Airborne_Troops
137th_Illinois_Volunteer_Infantry_Regiment	Infantry
137th_Indiana_Infantry_Regiment	Union_Army
137th_Infantry_Brigade_(United_Kingdom)	Infantry
137th_Infantry_Division_(Wehrmacht)	Operation_Barbarossa
137th_Infantry_Regiment_(United_States)	Infantry
137th_New_York_State_Legislature	New_York_State_Senate
137th_New_York_Volunteer_Infantry	Infantry
137th_Ohio_Infantry	Infantry
137th_Operations_Group	Oklahoma_Air_National_Guard
137th_Pennsylvania_Infantry	Infantry
137th_Rifle_Division_(Soviet_Union)	Red_Army
137th_Space_Warning_Squadron	Colorado_Air_National_Guard
137th_Street	deadend
137th_Street–City_College_(IRT_Broadway–Seventh_Avenue_Line)	Metro_station
137th_meridian	deadend
137th_meridian_east	Prime_meridian
137th_meridian_west	Prime_meridian
138	Common_year_starting_on_Tuesday
1380	Leap_year_starting_on_Sunday
1380_AM	Radio_broadcasting
1380_Volodia	Asteroid
1380_in_Ireland	deadend
1380_in_Italy	deadend
1380_in_Japan	Japan
1380_in_Norway	1380
1380s	deadend
1380s_BC	14th_century_BC
1380s_in_England	deadend
1380s_in_art	deadend
1380s_in_poetry	deadend
1381	Common_year_starting_on_Tuesday
1381_in_Ireland	deadend
1382	Common_year_starting_on_Wednesday
1382_Gerti	Asteroid_belt
1382_in_Ireland	deadend
1383	Common_year_starting_on_Thursday
1383_Limburgia	Asteroid
1383_in_Ireland	deadend
1383–1385_Portuguese_interregnum	Civil_war
1384	Leap_year_starting_on_Friday
1384_Kniertje	Asteroid_belt
1384_Yellow_River_flood	Natural_disaster
1385	Common_year_starting_on_Sunday
1385_in_Ireland	deadend
1386	Common_year_starting_on_Monday
1386_in_Ireland	deadend
1387	Common_year_starting_on_Tuesday
1387_in_Ireland	deadend
1387_in_Italy	deadend
1387_in_Norway	1387
1388	Leap_year_starting_on_Wednesday
1388_Aphrodite	Asteroid_belt
1388_in_Ireland	deadend
1389	Common_year_starting_on_Friday
1389_Movement	NATO_bombing_of_Yugoslavia
1389_Onnie	Asteroid
1389_in_Norway	Norway
138P/Shoemaker–Levy	List_of_periodic_comets
138_(number)	Natural_number
138_BC	Roman_calendar
138_Mary_Street,_Brisbane	List_of_heritage_registers
138_Tolosa	S-type_asteroid
138th	deadend
138th_(Edmonton,_Alberta)_Battalion,_CEF	Canadian_Expeditionary_Force
138th_(Lincoln_and_Leicester)_Brigade	Infantry
138th_Aero_Squadron	United_States_Army_Air_Service
138th_Attack_Squadron	174th_Attack_Wing
138th_Brigade_(People's_Republic_of_China)	26th_Army_(People's_Republic_of_China)
138th_Delaware_General_Assembly	Delaware_Senate
138th_Division	deadend
138th_Division_(Imperial_Japanese_Army)	Infantry
138th_Field_Artillery_Brigade	United_States_Army
138th_Fighter_Wing	Oklahoma_Air_National_Guard
138th_Georgia_General_Assembly	U.S._state
138th_Guards_Motor_Rifle_Brigade	Military_organization
